"key","source","context","af","ar","bn","zh-CN","zh-TW","cs","nl","en","et","fr","de","el","he","hi","hu","id","it","ja","ko","no","fa","pl","pt-PT","ru","es-ES","sv-SE","tr","uk","vi"
"TR_ENTER_PIN","Enter PIN","Button. Submit PIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_PIN_MANUAL_LINK","Learn more","Link to PIN manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NOT_SURE_HOW_PIN_WORKS","Not sure how PIN works? {TR_PIN_MANUAL_LINK}","Link to PIN manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_YOU_RECONNECTED_IS_DIFFERENT","Device you reconnected is different from the previous device. Connect the right one or refresh your internet browser and start again.","Text that indicates that user reconnected different device than he was working with before","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECTED_DEVICE_IS_IN_BOOTLOADER","Connected device is in bootloader mode. Reconnect it to continue.","Text that indicates that user connected device in bootloader mode","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_IS_USED_IN_OTHER_WINDOW_HEADING","Device is used in other window","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_IS_USED_IN_OTHER_WINDOW_TEXT","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_IS_USED_IN_OTHER_WINDOW_BUTTON","Continue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_ENTER_PIN_HEADING","Enter PIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_ENTER_PIN_TEXT","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RECONNECT_HEADER","Reconnect your device","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RECONNECT_TEXT","We lost connection with your device. This might mean:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RECONNECT_TROUBLESHOOT_CABEL","Cable is broken, try another one","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RECONNECT_TROUBLESHOOT_CONNECTION","Device is not well connected to the cable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RECONNECT_TROUBLESHOOT_BRIDGE","Trezor bridge might have stopped working, try restarting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CHANGE_WALLET_TYPE","Change wallet type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RENEW_SESSION","Renew session","TODO","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECTED","Connected","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECTED_BOOTLOADER","Connected (bootloader mode)","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECTED_NOT_INITIALIZED","Connected (not initialized)","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECTED_SEEDLESS","Connected (seedless mode)","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECTED_UPDATE_REQUIRED","Connected (update required)","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECTED_UPDATE_RECOMMENDED","Connected (update recommended)","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_USED_IN_ANOTHER_WINDOW","Used in other window","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_UNAVAILABLE","Unavailable","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_UNREADABLE","Unreadable","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DISCONNECTED","Disconnected","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_STATUS_UNKNOWN","Status unknown","Device status","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_YOU_ARE_IN_YOUR_STANDARD_WALLET","You are in your standard wallet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_YOU_ARE_IN_YOUR_WALLET","You are in your hidden wallet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CLICK_HERE_TO_ACCESS_YOUR_HIDDEN","Click here to access your hidden wallet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CLICK_HERE_TO_ACCESS_YOUR_STANDARD","Click here to access your standard or another hidden wallet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TO_ACCESS_OTHER_WALLETS","To access other wallets please connect your device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NEED_HELP","Need help?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
