p1-01	p1-01-initaction-awaits-definitions-and-rates-before-routerinit.md	F1.1	01-suite-startup.md
p1-02	p1-02-initblockchainthunk-awaits-a-handshake-to-every-coin-backend.md	F1.2,F2.5	01-suite-startup.md,02-wallet-core.md
p1-03	p1-03-updatemissingtxfiatrates-scans-every-persisted-transaction.md	F1.3,F2.1	01-suite-startup.md,02-wallet-core.md
p1-04	p1-04-preloadstore-loads-the-whole-transaction-history-before-render.md	F7.1	07-storage.md
p1-05	p1-05-rootreducer-hydrates-the-whole-idb-snapshot-in-one-task.md	F1.4	01-suite-startup.md
p1-06	p1-06-maindesktop-init-awaits-bluetooth-and-serialises-preload.md	F1.5,F1.6	01-suite-startup.md
p1-07	p1-07-discovery-drains-the-accountqueue-in-one-task.md	F2.3	02-wallet-core.md
p1-08	p1-08-discovery-completion-fires-analytics-synchronously.md	F2.2,F2.4	02-wallet-core.md
p1-09	p1-09-connect-holds-device-discovery-behind-firmware-releases.md	F4.4	04-workers.md
p1-10	p1-10-native-gates-first-render-on-the-connect-init-chain.md	F3.1,F3.2	03-native.md
p1-11	p1-11-mmkv-persist-rewrites-the-whole-wallet-per-state-change.md	F3.3	03-native.md
p1-12	p1-12-token-search-rebuilds-the-unvirtualised-table-per-keystroke.md	F5.1	05-render.md
p1-13	p1-13-accounts-sidebar-filters-urgently-on-every-keystroke.md	F5.3	05-render.md
p1-14	p1-14-transaction-export-freezes-the-wallet.md	F8.1	08-heavy-sync.md
p1-15	p1-15-signtransaction-parses-every-referenced-tx-in-one-task.md	F8.2	08-heavy-sync.md
p1-16	p1-16-balance-history-reduction-holds-the-rn-js-thread.md	F9.1	09-native-render.md
p1-17	p1-17-native-graph-refetch-competes-with-the-navigation-transition.md	F9.2	09-native-render.md
p2-01	p2-01-metadata-fetch-for-all-devices-races-first-paint.md	F1.7	01-suite-startup.md
p2-02	p2-02-coinjoin-scanaccount-block-filter-loop-never-yields.md	F4.1	04-workers.md
p2-03	p2-03-coinjoin-mempool-controller-init-never-yields.md	F4.2	04-workers.md
p2-04	p2-04-getanonymityscores-derives-a-script-per-transaction.md	F4.3	04-workers.md
p2-05	p2-05-coin-control-rescans-the-utxo-set-per-keystroke.md	F5.2	05-render.md
p2-06	p2-06-transactionsummary-aggregates-in-the-render-body.md	F5.4	05-render.md
p2-07	p2-07-preparegraphdataasync-is-a-settimeout-zero-poor-mans-worker.md	F5.5	05-render.md
p2-08	p2-08-token-definitions-retry-timer-has-no-backoff.md	F6.1	06-nonessential.md
p2-09	p2-09-commondb-additems-clones-every-record-in-one-task.md	F7.2	07-storage.md
p2-10	p2-10-commondb-getitemswithkeys-walks-a-cursor-per-record.md	F7.3	07-storage.md
p2-11	p2-11-updateall-rewrites-every-record-even-when-unchanged.md	F7.4	07-storage.md
p2-12	p2-12-coinselect-branch-and-bound-is-unbounded-per-fee-level.md	F8.3	08-heavy-sync.md
p2-13	p2-13-native-transactionlist-rebuild-lands-with-the-load-more-press.md	F9.3	09-native-render.md
p2-14	p2-14-native-searchform-debounce-should-be-usedeferredvalue.md	F9.4	09-native-render.md
p2-15	p2-15-electron-awaits-background-modules-before-the-window.md	F10.1	10-desktop-connect.md
p2-16	p2-16-connect-ws-reruns-process-discovery-per-core-call.md	F10.3	10-desktop-connect.md
p3-01	p3-01-scheduling-cleanups.md	F1.8,F3.4,F3.5,F6.2,F10.2	01-suite-startup.md,03-native.md,06-nonessential.md,10-desktop-connect.md
